--target target
--mode classify
--classifiers knn lgbm rf lr sgd mlp svm dummy
--regressors knn lgbm rf elastic sgd mlp svm dummy
--feat-select filter embed wrap
--embed-select lgbm linear
--wrapper-select step-up
--wrapper-model linear
--norm robust
--nan drop median
--filter-method assoc pred
--filter-assoc-cont-classify mut_info
--filter-assoc-cat-classify mut_info
--filter-assoc-cont-regress mut_info
--filter-assoc-cat-regress mut_info
--filter-pred-regress mae
--filter-pred-classify acc
--htune-trials 50
--htune-cls-metric acc
--htune-reg-metric mae
--test-val-size 0.4
--outdir ./df_analyze_results

f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,target
0.717759380925754,0.2524020142853596,-0.2720150269582428,-1.972520903858236,0.8483883039281356,-0.26708661288953306,1.3051085725878993,-0.2525872615257345,0.2671471195350698,-2.7460434532557083,0.8797093214696968,-0.6132957914973567,-0.4576729254245332,0.8690322850220018,0.08485692797038147,0.25180244393106643,-0.3439914278056322,-1.0551003080540775,-0.17912505848765092,0.8253573139962515,1.0566605577115324,-0.614127567746622,-2.0458121984463946,1.5350405008390617,1.0481645099603927,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-1.3295698474936368,-0.2888280147482765,2.9935173935105164,1.0870353492379317,1.3744784161225598,-0.7332647832909416,-0.3957505884022606,-0.98340634393685,-1.318969834473711,-1.0621533068797442,-1.6449792000631873,1.900326873820539,-1.635320085653167,-0.5566590012480392,1.40962516416643,-1.273992084809238,-0.11665032714790938,2.053178168705762,0.7694835346765413,-0.6221410329483367,0.606720664546162,1.1479633118553894,-0.9634086605197556,-0.1733564914319977,0.6379569761534577,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.2256340745633735,-0.47877298234019006,-1.0832575188080107,0.07044990665170171,0.09950270157116163,-1.2479705419994476,1.4501199446548605,0.7581994671976,0.4903966579754073,-2.059465129953749,-0.6376298603075816,1.0194277735520128,-0.5543509128186994,-1.7186079164179497,0.28607629519416067,-0.0328122310295626,0.8886865972554651,0.8477141039279448,-0.20728210055657906,-0.3348349028535117,-1.4062503541035833,-1.0355820072267858,-0.6665788248026016,0.5923537988967827,0.514013817672449,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
1.179895782737637,0.23896196947107318,0.7837717486412591,-1.9601747476143887,-0.377208166288736,0.1285244183360133,-1.069484406870581,-0.635306488163719,0.2883617241242686,-0.4835348101806107,-0.05704913565369075,-0.13233339197449867,-1.2908515512837249,-0.6746362259342381,0.9636831156104677,0.8657057680419551,0.0710002124689994,-0.057028445873671514,-0.029099790792119565,0.8840546137808041,0.7354308015846647,1.4434221773290978,-0.1413856868041106,0.3211106147582938,-0.06729256055316854,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.43962908733737205,1.2684453588644802,0.702227158122939,-1.1099982924568075,-0.33864852109792287,0.512033334287129,-0.9773684300117553,0.42082955646266346,-0.7840447908291562,-0.5785718259785456,-1.502375125777384,-0.34296993610610865,0.9619538415125183,-0.23186701931249407,1.547595691920091,0.22337718668399478,0.36068762776533664,-0.6332298676780375,-1.1472498379806966,1.0832987293888132,-0.8239483899371649,-0.7824392515501478,-0.7524975051828763,-0.5422806833344642,1.5348515823947653,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.3202276651411366,-1.128835065004379,-0.9784631398824174,-1.1818086401721812,1.2712142193249418,-0.2043956000915161,-0.16934881514593503,-0.5457726118729871,1.497134362851305,2.1441775241075534,0.0009678899849351956,-0.3609465659327335,1.576778607069362,0.04368887449658031,-0.6420649246550103,-0.5656295703927302,-0.38798700571388317,0.9875906627328342,0.299200656879944,0.0894641543320035,-0.10099999585411452,-0.7158122122228757,-0.6066152056930791,-0.17336977375957624,-0.19087504114445955,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
1.2934788500892413,-0.0538497003848727,-0.5269054124759593,-0.5675862189980613,-1.3064328522417268,-0.5846347891822701,1.0932139023755898,2.75735398524945,0.08510683858055428,2.0451724355860206,0.19010862731503875,-0.42457513300372146,0.7081447517930014,2.262395521641574,-1.0093331150538236,0.7449135902730828,-0.6040766118115539,0.30511680127611446,-0.6821822497949251,1.212743088081944,-1.8993269942626094,-1.461684346690057,1.1181424315010635,1.500722139509289,0.5896290953719027,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.06895412078621749,0.1704372065748987,-1.2480213635411517,0.28670238827028616,-0.7121167647537617,-1.2020181487491501,-0.7132892768249378,-0.6858930531589194,1.8654708838272653,1.6196988941777535,-0.4174666856145117,-0.47966319254240375,-0.6357511041009307,-0.36357797436341077,0.6263002437408453,0.0873066688304012,3.0395757531136502,0.8484009947704273,1.3284387617576563,-1.9887933647496503,0.88131764619863,0.6854773691464334,1.5964980579205719,0.830512397700549,1.9780707276443228,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
1.7984605599567374,0.8067014542396114,-0.38124324048348923,-0.4090449540156226,0.775797123326125,-0.6973566921813981,0.7113444701516903,-1.2143300383734281,0.6479385977891595,1.078186503079276,-0.9682737841001606,-0.040721194071730665,-1.5609141539690068,-0.4443838736926156,-0.5608685363962422,3.106512412416055,-0.7347509484467117,-0.06545081854812304,-1.1969474116733734,-0.06773468929570256,-0.7725126586696748,0.5876358646365164,0.34120770825318975,0.006120658247309466,-0.9154908756962012,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.46519979279229584,-0.2967933640277298,0.310854592581355,-1.164347515419439,1.1156051873074517,-0.2222528385129293,0.4471065793669073,0.7153891287115438,-0.5776779071721282,-0.3099525600795848,0.05540835987212251,0.30567559520247584,-0.06341940999165363,-0.7756451561586258,0.04392299355204833,-0.10910817629694047,1.0336329785694198,2.028267900187022,-0.3109132637474911,-0.6764669924575669,0.44990388577303725,-0.10155710913159427,-0.48017033985910174,-0.5920929913525436,-1.012612282794237,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
1.264300149228298,0.4035017019634087,0.8894535148266299,0.7167242162483927,1.5142849872376076,1.4539774270190708,-0.05458988127393002,-0.6408040754166484,-0.2807039116807951,-0.7366211351678713,1.3955137048139306,-0.6309558014173118,-0.8027016261554392,0.5214314550370698,-0.5756569585017894,-0.5504303408328032,-0.8011179130146611,0.173335409239891,-0.4354630661502162,-0.4422091346589409,-1.0618216226002961,0.5340710948973684,1.103543991017341,-1.7539685039452342,0.0873887173800746,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.7987084293433317,-1.8603144399388054,-0.036525377850115684,-0.6303497401714423,-0.523910188480599,-0.19336550380851023,-0.10631430648961888,1.0339166888386147,-1.4233317788861013,0.7833591128765901,-1.8881586152805638,1.541288801812248,0.6440475606728583,0.08541174927176103,0.3097949886585699,-0.46152620541082306,-1.0902369791133666,-1.1218928112593156,0.9265920746562367,-0.5040162325481434,-1.375726688889112,-2.8601121930266986,-0.5983902073786854,1.7783049759551592,1.0434624590710235,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.3422533338001857,1.364651547011448,0.779005530513626,-0.15373563770045645,2.3595035479088673,0.5053548441353015,0.4135702196976308,-0.9290210157923725,-0.9403331537752855,-0.31246738899461723,0.9935179096403451,-0.5138673651329554,0.16351281809974252,-0.5738201943001062,0.9486905730090063,1.9907225796757095,-0.4206810185120629,-0.3545343680647703,-0.8368255109815834,-1.0861062274105582,-1.5122434384573131,-0.8790396050008806,-2.379106096189154,-1.0830928843539676,0.9192776994948325,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.5850546054176246,-0.5062971466598811,-0.875594459008388,1.243645551734167,-1.065830573067439,0.5461814763862667,0.3100968804373867,1.6518561214101102,0.4635077804281985,1.162017686298732,-0.5611526109047901,2.056802520267072,0.4587890860619928,0.5678672008020297,-1.0944764223873609,-1.0062253373984464,0.1020132611241039,0.35264093626046306,0.7169814533893315,-0.09909054158670198,0.9374043063975596,1.4419811534685263,1.7076161627045103,-2.2384346893232205,-1.0482974223543284,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.33277181188251637,-0.9707939245974925,0.021264160096434153,0.3778980706891916,-0.11407641361746625,-1.2642542360897513,0.8416083077318245,0.2294172387698561,0.1730664803884248,1.456159918061703,0.5930209452103995,0.41906534326591605,0.22375439394528343,-0.4030522629849265,-0.5691082055021813,1.7483752476568264,-0.2892941002943147,-1.0660081804643915,0.3794495610533702,-0.320806694265659,-0.7619382711981502,0.9156848632892318,-1.2845358709509833,0.6022864362019856,1.6437567401476827,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.6549393621246379,-1.1123890047796992,-0.1831263562139147,1.2014275323075083,0.20723697001544647,0.8480660880651648,-0.6412858817467326,-0.14574101833725314,-0.9304529153398505,0.3777593481339552,-0.40773777208401824,0.4181604357775517,-2.0198780763329878,-2.1325807653907614,-0.6041835220457846,0.883639330682513,-0.5152732964764959,-0.3400583422936266,0.5854849716669255,0.40634169044071394,-0.6337248783768289,-0.7206363651128149,1.2166614046586046,1.8489222000190475,-0.06592371932798151,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-1.0719927474459217,-1.3939599536395875,-0.8079014473141418,-1.4512300972063845,-0.2723884795457451,-0.21772649546248318,-0.8144722210943245,0.9396297387541878,0.4840417778949155,-0.7132595171498087,-0.8314196796529487,-0.0651585093119979,-0.0515476709968366,1.002470289763743,-0.17433578381388584,0.1225666802934753,2.23149416850351,-1.1124971115402311,0.26423425608504386,0.4638111808779018,-0.6381254742656884,-0.6720448255530757,-1.1572097826680248,-0.09265865278828149,0.3718170295796818,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-2.1553508543483377,2.0666510151446635,-0.12516417283184886,0.13037518479835683,-1.5682932564164207,-0.48071097716412725,-0.4355334934427899,0.36457999878765085,-0.7456275419300401,-0.8541368737542618,0.5755983757416285,-2.138524009657651,-0.5003092167898414,-0.18358765013031947,1.5742202765355209,1.8271082004543269,0.9622731621372712,-0.530999894975907,0.8491648386536358,-0.7495226646129814,0.9731907243542106,-0.4019438032371774,1.271255305695165,0.8967660363341593,-0.401090540609973,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-1.6032305049934688,-0.27680116206543137,0.7973798544233789,-0.08436715713819046,-0.43016893244065224,0.29668085846285935,-0.23544181695624178,-1.4217690102872131,2.0763189351237403,-0.3015987781567551,-0.39686734424951564,-0.769382287871546,-0.42096603208830663,-0.46437938926264505,2.1092803585699773,0.5959827878849125,0.2691046863904301,-0.05641939497090889,-0.13750337376075325,0.4111363080991395,1.557718220709027,-0.49044259765812387,-0.19067610034699492,0.961167555187762,-1.2046681072421561,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.9473460119245324,0.20561269074050692,0.5071044928986126,-1.7904292626752965,-1.5794676506695655,-1.0096189811798746,-1.3059064847409143,-0.1035001942614402,0.11580285331318986,-0.6012956661582711,-0.49813846691672986,-0.7218549583552841,-0.09827448931631448,0.9268902379866137,0.058961563550958246,0.5327729656572517,-0.7785157592849904,1.1103511896521203,-0.17012320336283454,-0.39791947596581856,0.243886678345107,-0.15261988401334864,-1.6490051971601494,-0.2655047949458035,1.1513597516163419,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.45776274412984785,1.171979655218053,-0.2464270054444389,-0.48149715108272345,-0.12348332849889312,-0.4953676572645212,1.2614537757350024,0.7444339231814014,0.7073456428053314,-0.5209281073624779,-0.6343070924618766,-1.2217300838637422,0.12865495012140837,0.9013448470900586,1.1267859060141963,-1.5654237687122123,1.2139350140602356,-0.5637332320355485,0.17282921919254976,-0.4463052093424458,0.6959478969713737,-0.6446480238891044,1.4762590082249458,0.2565651345666608,-1.029541379837331,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.01904370737222682,1.0191962006332462,2.187533267604718,0.08665661213639353,0.16484199238476266,-0.44595222742209073,-0.9204855247125733,-0.07200062518969365,-0.028430034568637016,0.5783506156978976,0.10976024206648925,0.17871093335711088,-2.0086230694297225,-0.4506037516200367,-0.5372619360078217,-0.8725217475732623,-0.039253368129195755,0.05223642661800798,-0.9592132157797375,-0.4968247334884906,-0.8527105763554074,0.45837316945818135,0.0439328070544245,-0.6864996333787605,0.05868757297234774,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
1.2388636926544734,-0.4592945604503625,0.5505801196743693,0.614189217858003,0.2264929086911331,-0.6522124433949659,-1.7460578086070566,-0.9479208107639934,1.1986602512858433,-0.20832519319042875,1.3020608447263589,-1.6529172846767586,0.6441779873059736,-0.4709850432154636,-1.5638393412865126,0.16839674209042763,0.07854569241952317,0.7121410445926953,-0.8102690100367003,0.8201787152443455,-0.7313905769425281,1.5107012081876883,-0.4950069590793788,-0.8819376213228529,-1.5232596826910418,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-2.7512875626383684,0.3720564502419972,-0.5984775270986283,0.17464630304379475,-0.7179813538293225,0.5823667420986088,-0.4660690432179243,-0.42374632150248415,-0.6278004179257421,-1.4605050114072018,-0.5864671164044077,0.5684013411754539,-0.3101195321955747,-0.4314203710143659,0.0900240243971683,0.7707358774981576,1.384676906825264,-0.09392683880639986,1.4394043017137046,-0.7729754261916771,0.3801338207896479,1.0617554145992292,0.554504053559299,-0.07739571532910966,0.5310127842796775,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.737464430315136,0.44527421551397056,1.5776718197393658,0.43879209009944226,0.6288607831867882,0.029966010588073463,0.48529168681338053,0.10042653551228826,1.37009184465888,0.6202112741449594,-2.1429902835638948,0.6874100663666616,0.3601248863925479,1.0163054946668637,0.4956662869359017,0.3391206144830423,-0.445367575389038,-1.8950204208483745,0.31997699226555815,-0.27980076814238863,-0.3420829705980632,0.7476576717744938,1.196849500514881,-2.742194085227796,-1.5548091396743389,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.9610137442739152,1.1424425628138377,0.6120166473291029,-0.014891751798295107,0.8640889048318684,1.1881948721838271,0.01237771812589242,1.134882342874196,1.164827795381588,-0.14154815380190888,1.1254825590725723,-1.3038616962635374,-0.06513485989549386,-1.471596000461865,0.8998830956028319,0.2439545082477615,-1.1566648782871547,-0.13008208146459757,2.025823167066525,-0.7091344034016949,1.1117223530089477,0.09635220524555384,1.033903524418122,1.9064760357370325,2.3873915925680755,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.568190822576058,0.38278687849890014,1.2558439499127048,0.6233434299612985,-0.5562302723503745,-0.751142776670736,-1.1365003794975534,0.7442944954841149,0.8494750729059246,1.2967340185537357,1.465538907453977,0.48993831022926176,-0.7361527489407422,-0.11914445742967429,0.004411715510767629,-2.2461803715764934,1.3248137382191039,0.7689355254758181,1.7753217119549067,0.382471771379918,0.21391148080234246,0.22960513031364785,2.0226595672255008,1.7646257182858944,2.1658923598181317,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
1.1700069579878911,-0.168599174519211,0.9603599197626883,-0.3840041252547701,2.227539518737654,-0.3568372279100399,0.8976529397878601,-0.12575837034583312,1.2713441208298177,0.8081519255129067,-1.870611030985862,-0.08892638795053155,0.09211230493190445,1.5837410240265941,-1.1312016809764003,-0.24623494458953343,-0.8043933565550415,0.6417634696961271,0.49639222322173565,0.45931115941954836,0.5512092589304948,0.30599512903912507,0.19401164571868723,1.1607402367432518,-0.013235403961160495,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.24607089062334578,0.6699386771035261,0.16291158955245513,-0.031858452687601777,0.9912525199340989,0.6380043842488287,-0.5099532484059489,0.6973257987440435,-0.3972073539252008,-0.6001298107654799,0.6249598915706425,-1.2365498088671083,-0.3364337225670737,1.585445104495008,2.3216963521988667,0.42910409554361223,-1.5144343614358076,-0.16094199488411443,-0.5102518382338072,-0.6240933906130424,0.06091677660144389,2.085089351647684,0.34291163971944927,-0.041228185210118035,-0.592137048866428,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
1.2599493379742341,0.23556433549142375,-1.6935069270051477,-1.6489791052416696,-0.10566004337679379,-0.9469762169422663,-0.7150697699139903,-1.27541774851596,0.5240560842859628,0.11500145915398008,0.9508032275151633,-0.40676308853392534,-1.4269425166652587,0.44665392880366467,-1.20905035018493,-0.22794307612046202,-0.4346023948786292,0.9478171554429015,0.20109382085250038,2.3466523615292654,-0.7459649645277514,-0.3813249163565447,-0.7411944934841616,0.74446485939161,1.4949412295524684,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
1.0589632429104516,1.6090725256689526,-1.7892477631004338,0.7775771200424997,0.3151216390984266,0.08063954091409303,-0.26077762123228204,1.1371920346928348,-0.7945233988158533,-0.6057408598464498,-1.3916586215013964,-0.01928146639561384,1.2166809176733206,0.6328750297131794,-0.2870311870561335,-1.077299604591964,1.6909306029700917,-0.028382506831811677,-0.13787126310440728,-0.15950682507356653,0.11970851152399507,-0.4685841104701072,2.924187067577054,-0.5502500331120647,-0.7205488029677756,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.5398771033063874,1.0911999726330857,-0.9502690048035394,-0.9744016017263842,-1.441587956869329,-0.7856930327236599,0.22166270557138493,1.3590724683848108,-0.6341456517941917,0.9740740114098739,0.6386408075809816,1.7823526751595877,-0.8564500927607466,0.03840527937263699,-1.1797142272525298,-1.1387699650580951,-0.7599854253813412,0.08167367138841615,1.315171576410687,-0.247238568151979,1.6408184013110094,-0.2337234446182747,-1.045209445730647,-0.34147606100309946,0.7371432600268778,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.30467729458729176,-0.2542963310152256,0.41735744019425214,0.29715396365277874,0.5382919512417635,-0.8185813680101284,0.5337776953424268,-0.03219117959291087,1.941753487860289,1.0041688709874819,-1.3211613160767035,-1.7955036451002497,-0.25351467386786963,-0.8668711193595776,-0.02238264279711206,-1.4041219351397518,-0.5023510309009986,-1.3836075355779374,-0.5317698293532717,-0.9876527083040242,-1.6515060048564993,0.7242724817861254,-0.6183858541113512,-0.04721418140253927,-0.5271156107418944,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.131403488441191,2.0703016659834828,0.9051751477478044,-0.2512419751983614,-1.043758572836983,0.35019231140157386,1.6183011647924703,-0.8913534771249425,-0.11945908068429485,-0.3149971360748863,1.8439222732227474,-1.1228690279864968,-0.4949346473756728,2.290546531690123,0.17565228972694696,-0.9554693972421657,-1.1113633102787994,-1.1417545848466955,1.596024174578858,1.5283437028907658,-0.05248800869121176,0.8134260867309021,0.30071452554336403,2.0610950040912024,-0.3989792185043631,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.427442149828205,0.3164223693488215,-0.19262696501545362,-0.7074444365842504,0.7070033831220996,-0.5441068497014787,-1.252512807237866,-0.85147041710731,0.45008224343142145,-0.46171265530802086,-1.1047803986124323,-2.477011883800008,0.7798746923129518,0.8298038982302042,0.1910812001821687,-0.534093712816201,0.9262529146338745,0.6643985096260133,0.9777176160685181,-0.8011966741681924,-0.4377782470291643,-0.5763813954938273,0.9629660406162532,-0.31324394621038526,0.8804267727739733,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-1.819907955860029,0.28803302609731884,0.14606457681261653,0.9112381886047137,0.02667826067627702,-0.52102048999515,0.8592281152708927,0.4420422797312719,0.14231676162666498,1.0882638765190005,0.233236110204409,0.2986063997374496,0.9840904008359527,-1.8611820650049278,0.022617164836233442,-0.12344180557048336,-2.55149450040863,-1.4924265024942756,-1.1968907528452142,-1.080695275141204,1.9810563309713816,1.5116378374086044,-0.007608187245587497,-0.047600694071326465,2.179591730482874,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.3338357044570761,2.05383388776399,-0.8868481089247765,-0.14947178632280925,-0.26552149853256074,-0.28066398494017764,0.31421950048695674,0.5895196974948796,0.527965848209224,0.5249563855451649,0.5889908235964386,-0.03747304328817059,0.4098256722877155,0.20218606798385175,-1.0820311745350295,0.6485131252023683,0.9806286659604126,-1.9637969644158504,0.5784552646021315,-0.15074647584430093,1.3588932361457802,0.20360249137633604,1.289387711726431,0.03678810296083068,1.8533298101433202,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.641332580785249,-0.231153704898193,-0.6465026973054934,0.5324702490953894,-0.5128291740816812,-1.1724816245925473,0.38372533448756535,0.06273714333214402,-0.539179586302974,-0.6100483669698938,-0.5169286425923226,-1.0245353926644216,0.007520687791701434,-1.325115105016248,0.3147964704729175,1.5930681542793852,0.8960262742031798,-0.9487289721348668,-1.1525086445289143,1.1410289531479847,-0.689934277351355,-0.7536822179664264,-0.049000475497582685,0.37634218130195385,0.854237511261212,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.11282979467184527,-0.17144385491150824,-0.8540530496794682,0.38354791587478015,-0.14820129862606543,1.886140244416399,0.0698240295096238,-0.18293168221197464,-0.5553644186697066,0.4736170384678909,1.8226518106578307,-0.7368949879942406,0.7770778247420387,2.684663253223659,-1.2020135584215645,0.6252706795318472,-1.372573651403147,2.489069904775352,1.292166822276714,0.3175421884985615,-0.49158642898524846,0.352431997940002,0.16343171966506187,-0.632226350198372,0.14238221763125325,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.8594037329769487,-2.243308462155943,0.2058557522139994,-0.16408680310711762,0.41247538454304106,0.9916054011262236,0.6661736568541853,1.7427109987658487,0.4934975323612663,1.1977037557180894,-0.9856089974792046,-0.8399334084328105,1.4628383433884002,0.7740335803876929,-0.06594662292028837,1.9017102960940995,1.8436294269691922,-0.8645207222324731,-0.3696756657018448,1.2857128930126376,1.0186538581705122,-1.0784499277976614,-0.4622634831329288,2.3213953082398624,0.34678863363640566,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
